epoch,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
1,0.493649122262001,0.4468292325973511,0.44422438569068906,0.7616140625,0.79479375,0.79735
2,0.4323804660260677,0.4240464341163635,0.4216051061630249,0.80338203125,0.8069375,0.8090375
3,0.41180159133672717,0.4116479060649872,0.40935483818054197,0.81375078125,0.813275,0.81513125
4,0.3977799432873726,0.40351297955513,0.40068203611373904,0.8206640625,0.8178,0.8188375
5,0.3872742255151272,0.3971686515331268,0.3953087110996246,0.82597890625,0.82095625,0.82083125
6,0.3789311993002892,0.39377456564903257,0.39180804376602174,0.8302484375,0.8228875,0.82310625
7,0.371908290463686,0.39340232729911806,0.39117092990875246,0.83376015625,0.82306875,0.82410625
8,0.3655681666851044,0.38936290893554687,0.38710960884094237,0.836990625,0.82445625,0.8257625
9,0.3601152204990387,0.38649773645401003,0.3850498156070709,0.83973828125,0.8264875,0.82685625
10,0.3550428423643112,0.38618027815818784,0.3842422139644623,0.84264375,0.82648125,0.82719375
