epoch,train_loss,train_acc,test_loss,test_acc,time_sec
1,1.414128,0.48026,1.205393,0.5765,35.37
2,1.011694,0.6386,1.075655,0.6103,35.03
3,0.860901,0.69392,0.940457,0.6674,34.99
4,0.753952,0.7368,0.952286,0.6815,35.28
5,0.677857,0.76536,0.713449,0.7521,34.94
6,0.615857,0.7876,0.914971,0.6916,36.22
7,0.570328,0.805,0.705243,0.7616,35.28
8,0.534397,0.81882,0.619634,0.7928,35.3
9,0.499715,0.83076,0.536714,0.8164,35.07
10,0.468185,0.84188,0.489067,0.8326,35.43
11,0.441605,0.84982,0.500098,0.8294,35.19
12,0.419252,0.85726,0.486522,0.8368,34.97
13,0.397812,0.86396,0.457922,0.8463,35.27
14,0.374644,0.87256,0.431207,0.8549,34.92
15,0.35685,0.87866,0.416773,0.8591,35.28
16,0.340131,0.8828,0.404288,0.8658,35.25
17,0.327455,0.88888,0.401151,0.8641,35.13
18,0.317649,0.89046,0.390635,0.8672,35.29
19,0.314148,0.89238,0.385167,0.8685,35.23
20,0.310331,0.89456,0.385893,0.8695,35.44
